datetime,date,weekday,weekday_name,interval_idx,volume,volume_normalized
2025-12-01 00:00:00,2025-12-01,0,Monday,0,88.0343,0.0040442
2025-12-01 00:05:00,2025-12-01,0,Monday,1,116.0397,0.00533074
2025-12-01 00:10:00,2025-12-01,0,Monday,2,118.9908,0.00546631
2025-12-01 00:15:00,2025-12-01,0,Monday,3,73.737,0.0033874
2025-12-01 00:20:00,2025-12-01,0,Monday,4,83.8449,0.00385175
2025-12-01 00:25:00,2025-12-01,0,Monday,5,106.1336,0.00487567
2025-12-01 00:30:00,2025-12-01,0,Monday,6,99.1261,0.00455375
2025-12-01 00:35:00,2025-12-01,0,Monday,7,103.7126,0.00476445
2025-12-01 00:40:00,2025-12-01,0,Monday,8,90.5823,0.00416126
2025-12-01 00:45:00,2025-12-01,0,Monday,9,117.446,0.00539535
2025-12-01 00:50:00,2025-12-01,0,Monday,10,115.722,0.00531615
2025-12-01 00:55:00,2025-12-01,0,Monday,11,104.5156,0.00480134
2025-12-01 01:00:00,2025-12-01,0,Monday,12,120.8092,0.00554985
2025-12-01 01:05:00,2025-12-01,0,Monday,13,110.4042,0.00507185
2025-12-01 01:10:00,2025-12-01,0,Monday,14,89.7145,0.00412139
2025-12-01 01:15:00,2025-12-01,0,Monday,15,108.482,0.00498355
2025-12-01 01:20:00,2025-12-01,0,Monday,16,87.8344,0.00403502
2025-12-01 01:25:00,2025-12-01,0,Monday,17,115.8608,0.00532253
2025-12-01 01:30:00,2025-12-01,0,Monday,18,101.3754,0.00465708
2025-12-01 01:35:00,2025-12-01,0,Monday,19,99.0711,0.00455122
2025-12-01 01:40:00,2025-12-01,0,Monday,20,91.259,0.00419234
2025-12-01 01:45:00,2025-12-01,0,Monday,21,119.9618,0.00551092
2025-12-01 01:50:00,2025-12-01,0,Monday,22,98.7483,0.00453639
2025-12-01 01:55:00,2025-12-01,0,Monday,23,94.3228,0.00433309
2025-12-01 02:00:00,2025-12-01,0,Monday,24,95.1865,0.00437277
2025-12-01 02:05:00,2025-12-01,0,Monday,25,108.1773,0.00496955
2025-12-01 02:10:00,2025-12-01,0,Monday,26,105.3242,0.00483848
2025-12-01 02:15:00,2025-12-01,0,Monday,27,105.6723,0.00485448
2025-12-01 02:20:00,2025-12-01,0,Monday,28,105.5693,0.00484974
2025-12-01 02:25:00,2025-12-01,0,Monday,29,130.5388,0.00599682
